Date,Close,Volume,PriceRange
2019-05-03,152.83,19077611,14.18
2019-05-10,158.44,11278786,9.1
2019-05-17,154.86,10980823,7.48
2019-05-24,149.48,12179637,7.48
2019-05-31,148.02,10274058,5.8
2019-06-07,157.47,10087372,10.5
2019-06-14,158.41,6396403,5.31
2019-06-21,161.15,9528685,4.64
2019-06-28,157.55,8792338,4.64
2019-07-05,163.44,5476584,8.62
2019-07-12,179.21,17044730,26.47
2019-07-19,173.69,9234144,8.64
2019-07-26,167.3,8989767,8.27
2019-08-02,164.58,9541351,11.32
2019-08-09,169.9,10720764,13.71
2019-08-16,161.24,8678999,12.96
2019-08-23,153.3,8042273,12.49
2019-08-30,153.97,10265652,9.86
2019-09-06,153.8,9033895,7.58
2019-09-13,160.85,13634035,12.31
2019-09-20,161.38,9689313,7.34
2019-09-27,149.48,11837871,13.48
2019-10-04,150.74,11401388,5.29
2019-10-11,152.4,10308989,9.49
2019-10-18,166.88,9792851,16.59
2019-10-25,171.49,9762112,7.82
2019-11-01,179.51,13382442,13.19
2019-11-08,188.2,9652659,10.83
2019-11-15,196.01,9344562,13.57
2019-11-22,201.85,8970249,7.13
2019-11-29,199.92,7474971,6.74
2019-12-06,198.93,8604335,7.85
2019-12-13,189.87,10792993,10.04
2019-12-20,204.59,12635575,15.24
2019-12-27,204,4228738,3.91
2020-01-03,203.18,5174744,5.05
2020-01-10,210.28,7135147,10.4
2020-01-17,212.52,8742983,10.68
2020-01-24,206.01,7054771,9.7
